掉落规则ID,单次掉落种类数量,可否暴击,可否重复,额外掉落,玩家经验,金币,钻石,竞技币,能量碎片,公会贡献,抽卡券,掉落1ID,掉落1概率,掉落1数量,掉落2ID,掉落2概率,掉落2数量,掉落3ID,掉落3概率,掉落3数量,掉落4ID,掉落4概率,掉落4数量,掉落5ID,掉落5概率,掉落5数量,掉落6ID,掉落6概率,掉落6数量,掉落7ID,掉落7概率,掉落7数量,掉落8ID,掉落8概率,掉落8数量,掉落9ID,掉落9概率,掉落9数量,掉落10ID,掉落10概率,掉落10数量,掉落11ID,掉落11概率,掉落11数量,掉落12ID,掉落12概率,掉落12数量,掉落13ID,掉落13概率,掉落13数量,掉落14ID,掉落14概率,掉落14数量,掉落15ID,掉落15概率,掉落15数量,掉落16ID,掉落16概率,掉落16数量,掉落17ID,掉落17概率,掉落17数量,掉落18ID,掉落18概率,掉落18数量,掉落19ID,掉落19概率,掉落19数量,掉落20ID,掉落20概率,掉落20数量,掉落21ID,掉落21概率,掉落21数量,掉落22ID,掉落22概率,掉落22数量,掉落23ID,掉落23概率,掉落23数量,掉落24ID,掉落24概率,掉落24数量,掉落25ID,掉落25概率,掉落25数量,掉落26ID,掉落26概率,掉落26数量,掉落27ID,掉落27概率,掉落27数量,掉落28ID,掉落28概率,掉落28数量,掉落29ID,掉落29概率,掉落29数量,掉落30ID,掉落30概率,掉落30数量
105,[3+3],0,0,,,[1+500+500],,,,,,201006,3333,[1+1],231002,3333,[1+1],100003,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,[3+3],0,0,,,[1+1000+1000],,,,,,50002,3333,[5+5],211002,3333,[1+1],221002,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,[3+3],0,0,,,[1+500+500],,,,,,211002,3333,[1+1],221001,3333,[1+1],231001,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,[3+3],0,0,,,[1+1000+1000],,,,,,50002,3333,[5+5],201002,3333,[1+1],201001,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,[3+3],0,0,,,[1+500+500],,,,,,221002,3333,[1+1],231002,3333,[1+1],100002,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,[3+3],0,0,,,[1+1000+1000],,,,,,50002,3333,[5+5],50016,3333,[5+5],201022,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,[3+3],0,0,,,[1+1000+1000],,,,,,211001,3333,[1+1],231001,3333,[1+1],100002,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,[3+3],0,0,,,[1+2000+1000],,,,,,50035,3333,[3+3],221002,3333,[1+1],100002,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,[3+3],0,0,,,[1+1000+1000],,,,,,120013,3333,[5+5],120122,3333,[5+5],120121,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,[3+3],0,0,,,[1+2000+1000],,,,,,50035,3333,[3+3],120142,3333,[5+5],120143,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,[3+3],0,0,,,[1+1000+1000],,,,,,120005,3333,[5+5],120164,3333,[5+5],120165,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,[3+3],0,0,,,[1+2000+1000],,,,,,50035,3333,[3+3],221014,3333,[1+1],100002,3334,[4+4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,[3+3],0,0,,,[1+1000+1000],,,,,,120101,3333,[5+5],120102,3333,[5+5],100002,3334,[4+4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,[3+3],0,0,,,[1+2000+1000],,,,,,50035,3333,[3+3],221010,3333,[1+1],100002,3334,[4+4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,[3+3],0,0,,,[1+1000+1000],,,,,,120124,3333,[5+5],120125,3333,[5+5],100002,3334,[4+4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,[3+3],0,0,,,[1+2000+1000],,,,,,50035,3333,[3+3],50016,3333,[5+5],201022,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,[3+3],0,0,,,[1+1500+1500],,,,,,120013,3333,[5+5],120103,3333,[5+5],120104,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,[3+3],0,0,,,[1+3000+3000],,,,,,50030,3333,[3+3],221022,3333,[1+1],100001,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,[3+3],0,0,,,[1+1500+1500],,,,,,120001,3333,[5+5],120123,3333,[5+5],120163,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,[3+3],0,0,,,[1+3000+3000],,,,,,50030,3333,[3+3],221026,3333,[1+1],100001,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,[3+3],0,0,,,[1+1500+1500],,,,,,120005,3333,[5+5],120144,3333,[5+5],120145,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,[3+3],0,0,,,[1+3000+3000],,,,,,50030,3333,[5+5],231022,3333,[1+1],100001,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,[3+3],0,0,,,[1+1500+1500],,,,,,120013,3333,[5+5],120161,3333,[5+5],120162,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,[3+3],0,0,,,[1+3000+3000],,,,,,50030,3333,[5+5],231018,3333,[1+1],100001,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,[3+3],0,0,,,[1+1500+1500],,,,,,120013,3333,[5+5],120105,3333,[5+5],120141,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,[3+3],0,0,,,[1+3000+3000],,,,,,50030,3333,[5+5],50043,3333,[5+5],231014,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,[3+3],0,0,,,[1+2000+2000],,,,,,120001,3333,[10+10],120108,3333,[15+15],120128,3334,[15+15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,[3+3],0,0,,,[1+4000+4000],,,,,,50015,3333,[3+3],211046,3333,[1+1],100005,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,[3+3],0,0,,,[1+2000+2000],,,,,,120001,3333,[10+10],120123,3333,[15+15],120163,3334,[15+15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,[3+3],0,0,,,[1+4000+4000],,,,,,50015,3333,[3+3],211050,3333,[1+1],100005,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,[3+3],0,0,,,[1+2000+2000],,,,,,120013,3333,[15+15],120126,3333,[15+15],120146,3334,[15+15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,[3+3],0,0,,,[1+4000+4000],,,,,,50015,3333,[3+3],211038,3333,[1+1],100005,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,[3+3],0,0,,,[1+2000+2000],,,,,,120109,3333,[15+15],120129,3333,[15+15],100005,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,[3+3],0,0,,,[1+4000+4000],,,,,,50015,3333,[3+3],211042,3333,[1+1],100005,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,[3+3],0,0,,,[1+2000+2000],,,,,,120110,3333,[15+15],120170,3333,[15+15],100005,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,[3+3],0,0,,,[1+4000+4000],,,,,,50015,3333,[3+3],50018,3333,[5+5],231038,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,[3+3],0,0,,,[1+2500+2500],,,,,,120147,3333,[15+15],120167,3333,[15+15],100005,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,[3+3],0,0,,,[1+5000+5000],,,,,,50040,3333,[3+3],231050,3333,[1+1],100004,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,[3+3],0,0,,,[1+2500+2500],,,,,,120130,3333,[15+15],120150,3333,[15+15],100005,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,[3+3],0,0,,,[1+5000+5000],,,,,,50040,3333,[3+3],231030,3333,[1+1],100004,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,[3+3],0,0,,,[1+2500+2500],,,,,,120013,3333,[15+15],120106,3333,[15+15],120166,3334,[15+15],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,[3+3],0,0,,,[1+5000+5000],,,,,,50040,3333,[3+3],231046,3333,[1+1],100004,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,[3+3],0,0,,,[1+2500+2500],,,,,,120013,3333,[15+15],120001,3333,[10+10],120005,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,[3+3],0,0,,,[1+5000+5000],,,,,,50040,3333,[3+3],231042,3333,[1+1],100004,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,[3+3],0,0,,,[1+2500+2500],,,,,,120128,3333,[15+15],120148,3333,[15+15],100005,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,[3+3],0,0,,,[1+5000+5000],,,,,,50040,3333,[3+3],50042,3333,[5+5],201050,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,[3+3],0,0,,,[1+3000+3000],,,,,,120112,3333,[30+30],120114,3333,[30+30],100004,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,[3+3],0,0,,,[1+6000+6000],,,,,,50028,3333,[1+1],221066,3333,[1+1],100004,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,[3+3],0,0,,,[1+3000+3000],,,,,,120013,3333,[30+30],120115,3333,[30+30],120111,3334,[30+30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,[3+3],0,0,,,[1+6000+6000],,,,,,50028,3333,[1+1],221070,3333,[1+1],100004,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,[3+3],0,0,,,[1+3000+3000],,,,,,120006,3333,[20+20],120173,3333,[30+30],120175,3334,[30+30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,[3+3],0,0,,,[1+6000+6000],,,,,,50028,3333,[2+2],221054,3333,[1+1],100004,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,[3+3],0,0,,,[1+3000+3000],,,,,,120002,3333,[20+20],120171,3333,[30+30],120172,3334,[30+30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,[3+3],0,0,,,[1+6000+6000],,,,,,50028,3333,[2+2],221074,3333,[1+1],100004,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,[3+3],0,0,,,[1+3000+3000],,,,,,120135,3333,[30+30],120131,3333,[30+30],100004,3334,[2+2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,[3+3],0,0,,,[1+6000+6000],,,,,,50028,3333,[2+2],50007,3333,[5+5],221062,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30001,[1+1],0,1,,,,,,,,,120015,2000,[1+1],120016,2000,[1+1],120017,2000,[1+1],120018,2000,[1+1],120019,2000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30002,[1+1],0,1,,,,,,,,,150001,2000,[1+1],150002,2000,[1+1],150003,2000,[1+1],150008,2000,[1+1],150015,2000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30003,[1+1],0,1,,,,,,,,,120001,3333,[10+10],120005,3333,[10+10],120013,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50001,[0+0],0,1,,,[1+100+100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50002,[0+0],0,1,,,[1+100+100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50003,[0+0],0,1,,,[1+100+100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50004,[0+0],0,1,,,[1+100+100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50011,[1+1],0,1,,,[1+500+500],,,,,,120001,2500,[1+1],120005,2500,[1+1],120013,5000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50012,[1+1],0,1,,,[1+500+500],,,,,,120001,2500,[1+1],120005,2500,[1+1],120013,5000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50013,[1+1],0,1,,,[1+500+500],,,,,,120001,2500,[1+1],120005,2500,[1+1],120013,5000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50014,[1+1],0,1,,,[1+500+500],,,,,,120001,2500,[1+1],120005,2500,[1+1],120013,5000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50021,[0+0],0,1,,,[1+250+250],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50022,[0+0],0,1,,,[1+250+250],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50023,[0+0],0,1,,,[1+250+250],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50024,[0+0],0,1,,,[1+250+250],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50101,[1+1],0,0,,[7+25+25],[1+10000+10000],[2+100+100],,,,,10001,10000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50102,[1+1],0,0,,[7+25+25],[1+2500+2500],[2+100+100],,,,[10+1+1],201002,10000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50103,[4+4],0,0,,[7+25+25],[1+2500+2500],,,,,,211002,2500,[1+1],221002,2500,[1+1],231002,2500,[1+1],100003,2500,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50104,[1+1],0,0,,[7+25+25],[1+5000+5000],[2+100+100],,,,,50001,10000,[20+20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50105,[1+1],0,0,,[7+25+25],[1+10000+10000],[2+100+100],,,,,10002,10000,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
