任务ID,说明,任务标题,任务类型,任务图标,完成条件描述,解锁等级,是否显示,立即前往,完成条件,条件参数1,条件参数2,条件参数3,需完成次数,未完成提示,奖励经验,奖励金币,奖励钻石,奖励体力,奖励抽卡券,奖励道具,结束后启动,重置周期,重置周期参数
27,通过第六章第4关,50052,1,icon_task_01.png,50053,1,1,[10+6+604],27,604,0,0,1,0,400,1000,30,0,0,[],[28],0,[]
28,通过第六章第6关,50054,1,icon_task_01.png,50055,1,1,[10+6+606],27,606,0,0,1,0,400,1000,30,0,0,[],[29],0,[]
29,通过第六章第8关,50056,1,icon_task_01.png,50057,1,1,[10+6+608],27,608,0,0,1,0,400,1000,30,0,0,[],[30],0,[]
30,通过第六章第10关,50058,1,icon_task_01.png,50059,1,1,[10+6+610],27,610,0,0,1,0,400,1000,30,0,0,[],[31],0,[]
31,通过第七章第2关(隐藏留作以后新增),,1,icon_task_01.png,,999,0,[],11,999,0,0,1,0,0,0,0,0,0,[],[],0,[]
1001,每日抽卡1次,55004,2,icon_task_03.png,55005,1,1,[7],6,0,0,0,1,0,10,200,0,0,0,[],[],1,[0]
1002,每日培养1次英雄(吃任意经验卡),55006,2,icon_task_04.png,55007,1,1,[3+7],7,0,0,0,1,0,10,200,0,0,0,[],[],1,[0]
1003,每日钻石购买金币3次,55008,2,icon_task_05.png,55009,1,1,[61],8,0,0,0,3,0,10,200,0,0,0,[],[],1,[0]
1004,每日通过1次英雄试炼,55016,2,icon_task_10.png,55017,8,1,[],20,0,0,0,1,0,10,200,0,0,0,[],[],1,[0]
1005,每日通过1次金币试炼,55018,2,icon_task_11.png,55019,8,1,[],21,0,0,0,1,0,10,200,0,0,0,[],[],1,[0]
1006,每日完成5次竞技挑战,55022,2,icon_task_13.png,55023,1,1,[48],23,0,0,0,5,0,20,0,0,0,0,[100001+2],[],1,[0]
1007,公会活跃100,55030,2,icon_task_01.png,55031,10,1,[],42,0,0,0,100,0,10,500,0,0,0,[],[],1,[0]
1008,召回并派遣1次佣兵,55032,2,icon_task_01.png,55033,10,1,[],43,0,0,0,1,0,10,500,0,0,0,[],[],1,[0]
1009,每日打造1次装备,55036,2,icon_task_08.png,55037,20,1,[],204,0,0,0,1,0,10,0,0,0,0,[251+1],[],1,[0]
1010,每日购买1次竞技宝箱,55038,2,icon_task_05.png,55039,1,1,[48],45,0,0,0,1,0,0,10000,0,0,0,[],[],1,[0]
2101,预留任务：创角触发(隐藏),,1,,,999,0,[],11,999,0,0,999,0,0,0,0,0,0,[],[],0,[]
